,data_index,link,position_name,company_name
0,0,https://justjoin.it/offers/future-mind-experienced-master-data-management-mdm-consultant-warszawa-data,Experienced Master Data Management (MDM) Consultant,Future Mind
1,1,https://justjoin.it/offers/moderna-poland-sp-z-o-o--senior-security-engineer-vulnerability-management-warszawa-security,"Senior Security Engineer, Vulnerability Management",MODERNA POLAND SP. Z O.O.
2,2,https://justjoin.it/offers/moderna-poland-sp-z-o-o--director-software-engineering-clinical-systems-warszawa-architecture,"Director, Software Engineering, Clinical Systems",MODERNA POLAND SP. Z O.O.
3,3,https://justjoin.it/offers/moderna-poland-sp-z-o-o--sr-application-developer-workday--warszawa-admin,Sr. Application Developer (Workday),MODERNA POLAND SP. Z O.O.
4,4,https://justjoin.it/offers/sunscrapers-senior-data-engineer-pacific-time--krakow-data,Senior Data Engineer (Pacific Time),Sunscrapers
5,5,https://justjoin.it/offers/tooploox-sp-z-o-o--java-developer-wroclaw-java,Senior Java Developera,Tooploox Sp. z o.o.
6,6,https://justjoin.it/offers/egnyte-poland-analytics-engineering-manager-poznan-analytics,Analytics Engineering Manager,Egnyte Poland
7,7,https://justjoin.it/offers/antal-sp-z-o-o--fullstack-engineer---tech-lead-krakow-java,Fullstack Engineer - Tech Lead,Antal Sp. z o.o.
8,8,https://justjoin.it/offers/nationale-nederlanden-developer-analityk-regul-prowizyjnych-warszawa-data,Developer/Analityk reguł prowizyjnych,Nationale-Nederlanden
9,9,https://justjoin.it/offers/hardware-direct-system-administrator-warszawa-admin,System Administrator,Hardware Direct
10,10,https://justjoin.it/offers/pse-innowacje-sp-z-o-o--full-stack-developer-java-angular--walbrzych-java,"Full Stack Developer (Java, Angular)",PSE Innowacje sp. z o.o.
11,11,https://justjoin.it/offers/cksource-senior-software-engineer-ai-enthusiast-warszawa-javascript,Senior Software Engineer / AI Enthusiast,CKSource
12,12,https://justjoin.it/offers/paramount-senior-test-automation-engineer-warszawa-python,Senior Test Automation Engineer,Paramount
13,13,https://justjoin.it/offers/paramount-senior-devops-engineer-warszawa-devops,Senior DevOps Engineer,Paramount
14,14,https://justjoin.it/offers/dmtech-polska-test-automation-engineer-z-j-niemieckim-wroclaw-testing,Test Automation Engineer z j.niemieckim,dmTECH Polska
15,15,https://justjoin.it/offers/alior-bank-sa-software-developer-fullstack-gdansk-java,Software Developer FullStack,Alior Bank SA
16,16,https://justjoin.it/offers/alior-bank-sa-it-project-manager-gdansk-pm,IT Project Manager,Alior Bank SA
17,17,https://justjoin.it/offers/sky-engine-limited-senior-devops-engineer-devops-lead-warszawa-devops,Senior DevOps Engineer / DevOps Lead,Sky Engine Limited
18,18,https://justjoin.it/offers/dcv-technologies-senior-java-full-stack-engineer-krakow-java,Senior Java Full stack Engineer,DCV Technologies
19,19,https://justjoin.it/offers/dcv-technologies-qa-lead-automation-krakow-testing,QA Lead Automation,DCV Technologies
20,20,https://justjoin.it/offers/tellent-senior-devops-engineer-poznan-devops-59004552,Senior DevOps Engineer,Tellent
21,21,https://justjoin.it/offers/dcv-technologies-talend-developer-warszawa-other,Talend Developer,DCV Technologies
22,22,https://justjoin.it/offers/dcv-technologies-microsoft-dynamics-365-finance-operations-functional-consultant-warszawa-other,Microsoft Dynamics 365 Finance & Operations Functional Consultant,DCV Technologies
23,23,https://justjoin.it/offers/dcv-technologies-oci-iam-solution-developer-poland-other,OCI-IAM Solution Developer,DCV Technologies
24,24,https://justjoin.it/offers/da-grasso-sp-z-o-o--starszy-specjalista-ds-it-lodz-admin,Starszy Specjalista ds. IT,Da Grasso Sp. z o. o.
25,25,https://justjoin.it/offers/team-connect-php-developer-warszawa-php,PHP Developer,Team Connect
26,26,https://justjoin.it/offers/mobica-senior-hardware-engineer-warszawa-other,Senior Hardware Engineer,Mobica
27,27,https://justjoin.it/offers/connectis-mobile-developer-android-ios--warszawa-mobile,Mobile Developer (Android/iOS),Connectis
28,28,https://justjoin.it/offers/mobica-hardware-architect-warszawa-architecture,Hardware Architect,Mobica
29,29,https://justjoin.it/offers/mobica-senior-hardware-architect-warszawa-architecture,Senior Hardware Architect,Mobica
30,30,https://justjoin.it/offers/connectis-project-manager-warszawa-pm-ce7ec5f8,Project Manager,Connectis
31,31,https://justjoin.it/offers/cloudflight-head-of-delivery-wroclaw-pm,Head of Delivery,Cloudflight
32,32,https://justjoin.it/offers/allegro-research-engineer-nlp--warszawa-ai,Research Engineer (NLP),Allegro
33,33,https://justjoin.it/offers/allegro-machine-learning-engineer-machine-learning-research-lab--warszawa-ai,Machine Learning Engineer (Machine Learning Research Lab),Allegro
34,34,https://justjoin.it/offers/allegro-mobile-manager-engineering-team-leader--warszawa-mobile,Mobile Manager Engineering (Team Leader),Allegro
35,35,https://justjoin.it/offers/youriteams-senior-devops-engineer-warszawa-devops,Senior DevOps Engineer,YourITeams
36,36,https://justjoin.it/offers/youriteams-salesforce-technical-architect-warszawa-architecture,Salesforce Technical Architect,YourITeams
37,37,https://justjoin.it/offers/youriteams-it-service-manager-warszawa-pm,IT Service Manager,YourITeams
38,38,https://justjoin.it/offers/kevin-edward-technical-architect-bruksela-java,Technical architect,Kevin Edward
39,39,https://justjoin.it/offers/emagine-polska-service-delivery-manager-with-rpa-uipath--krakow-pm,Service Delivery Manager with RPA (UIPath),emagine Polska
40,40,https://justjoin.it/offers/sigma-software-middle-senior-machine-learning-engineer-social-shopping-platform--warszawa-data,Middle/Senior Machine Learning Engineer (Social Shopping Platform),Sigma Software
41,41,https://justjoin.it/offers/b2bnetwork-java-developer-warszawa-java,Java Developer,B2Bnetwork
42,42,https://justjoin.it/offers/techland-incident-response-engineer-soc-analyst-tier-2--wroclaw-security,Incident Response Engineer/SOC Analyst Tier 2+,Techland
43,43,https://justjoin.it/offers/hays-poland-crm-creatio-engineer-warszawa-erp,CRM (Creatio) Engineer,Hays Poland
44,44,https://justjoin.it/offers/britenet-power-platform-developer-part-time--warszawa-data,Power Platform Developer (part-time),Britenet
45,45,https://justjoin.it/offers/itlt-salesforce-developer-warszawa-other,Salesforce Developer,ITLT
46,46,https://justjoin.it/offers/fakro-konsultant-systemu-erp-nowy-sacz-erp,Konsultant Systemu ERP,FAKRO
47,47,https://justjoin.it/offers/emagine-polska-business-consultants---eba-stress-testing-senior-expert-junior-level-needed--warszawa-analytics,Business Consultants - EBA stress testing,emagine Polska
48,48,https://justjoin.it/offers/mmc-polska-junior-frontend-developer-warszawa-php,Junior Frontend Developer,MMC Polska
49,49,https://justjoin.it/offers/mmc-polska-junior-frontend-developer-warszawa-javascript,Junior Frontend Developer,MMC Polska
50,50,https://justjoin.it/offers/mmc-polska-junior-frontend-developer-warszawa-html,Junior Frontend Developer,MMC Polska
51,51,https://justjoin.it/offers/eyzee-s-a--php-developer-gdansk-php,PHP Developer,Eyzee S.A.
52,52,https://justjoin.it/offers/atende-industries-starszy-programista-python-warszawa-python,Starszy Programista Python,Atende Industries
53,53,https://justjoin.it/offers/bluesoft-analityk-systemowy-regular-senior--warszawa-analytics,Analityk Systemowy (Regular/Senior),BlueSoft
54,54,https://justjoin.it/offers/brown-brothers-harriman-test-automation-architect-krakow-testing-22167fc4,Test Automation Architect,Brown Brothers Harriman
55,55,https://justjoin.it/offers/dmtech-polska-analityk-llm-z-j-niemieckim-wroclaw-other,Analityk LLM z j.niemieckim,dmTECH Polska
56,56,https://justjoin.it/offers/brown-brothers-harriman-test-automation-engineer-krakow-testing,Test Automation Engineer,Brown Brothers Harriman
57,57,https://justjoin.it/offers/antal-sp-z-o-o--senior-fullstack-developer-warszawa-javascript-734041bd,Senior Fullstack Developer,Antal Sp. z o.o.
58,58,https://justjoin.it/offers/toolkit3d-quality-assurance-engineer-krakow-testing-bd400518,Quality Assurance Engineer,Toolkit3D
59,59,https://justjoin.it/offers/g2a-software-engineer-go-rust--krakow-go,"Software Engineer (Go, Rust)",G2A
60,60,https://justjoin.it/offers/kyriba-senior-software-engineer-java-react--poland-remote--java,Senior Software Engineer (Java/React),Kyriba
61,61,https://justjoin.it/offers/bayer-sp-z-o-o-senior-software-engineer-full-stack-node-js-react-aws,"Senior Software Engineer - Full Stack (Node.JS, React, AWS)",Bayer Sp. z o.o.
62,62,https://justjoin.it/offers/mindpal-frontend-developer,Mid Frontend Developer,MindPal
